Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
1,Pelos,Embidrama,Embidrama Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,111475,-6,-43.4,4,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Pelos&population=111475&size=78&seed=6656582340001&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.69
2,Fegarte,Vilesia,Vilesia Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,57299,-13.73,55.63,16,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Fegarte&population=57299&size=60&seed=6656582340002&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.18
3,Vyatrov,Vyatrov,Vyatrov Canton,Modets,United Provinces of Modets,Slovan,Slovan Spirits,5540,-40.65,-83.58,25,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Vyatrov&population=5540&size=25&seed=6656582340003&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.11
4,Borconera,Mortetano,Mortetano Barony,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,17270,-7.44,-26.56,36,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Borconera&population=17270&size=38&seed=6656582340004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.33
5,Tersun,Tersun,Tersun Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,20046,-42.49,-60.67,16,capital,port,citadel,walls,,temple,shanty town,https://watabou.github.io/city-generator?name=Tersun&population=20046&size=40&seed=6656582340005&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1&sea=1.18
6,Karlstat,Karlstat,Karlstat Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4897,32.45,94.12,9,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Karlstat&population=4897&size=24&seed=6656582340006&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.62
7,Normaga,Normaga,Normaga Margrave,Castricia,Castrician Empire,Tallian,Tallian Gods,33296,19.55,-47.79,169,capital,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Normaga&population=33296&size=49&seed=6656582340007&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
8,Pansete,Pansete,Pansete Margrave,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,29081,-31.92,-42.72,36,capital,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Pansete&population=29081&size=46&seed=6656582340008&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
9,Panvile,Panvile,Panvile Shire,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,13181,18.36,64.3,9,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Panvile&population=13181&size=34&seed=6656582340009&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.98
10,Gernoisis,Choux,Choux Captaincy,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,23650,-3.56,30.49,9,capital,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Gernoisis&population=23650&size=43&seed=6656582340010&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
